PROJECT,TEST,DATE
Nexage,KS-5406 PSS Campaign Status verify that running campaign can be changed to incomplete and back,2016-10-13 03:53:28.0
Nexage,KS-5409 PSS Campagin Status verify that running campaign can be edited,2016-10-13 03:53:33.0
Nexage,KS-5426 PSS Campaign Creatives verify that 3rd party tag can be edited,2016-10-13 03:53:22.0
Nexage,KS-5430 PSS Campaign Creatives verify that creative and 3rd party tag can be deleted,2016-10-13 13:33:59.0
Nexage,KS-5430 PSS Campaign Creatives verify that creative and 3rd party tag can be deleted,2016-10-13 03:53:16.0
Nexage,KS-5437 PSS Campaigns Targeting verify that campaign can be saved with Wifi and carriers option and all carriers,2016-10-13 03:59:13.0
Nexage,KS-5437 PSS Campaigns Targeting verify that campaign can be saved with Wifi and carriers option and all carriers,2016-10-13 11:00:14.0
Nexage,KS-5444 PSS Campaigns Targeting Country Targeting verify that blocked countries can be selected,2016-10-13 10:32:38.0
Nexage,KS-5444 PSS Campaigns Targeting Country Targeting verify that blocked countries can be selected,2016-10-13 03:08:55.0
Nexage,KS-5454 PSS Campaigns Targeting verify that the list of specific carriers depends on a list of allowed blocked countries,2016-10-13 10:57:31.0
Nexage,KS-5454 PSS Campaigns Targeting verify that the list of specific carriers depends on a list of allowed blocked countries,2016-10-13 13:33:56.0
Nexage,KS-5454 PSS Campaigns Targeting verify that the list of specific carriers depends on a list of allowed blocked countries,2016-10-13 03:53:05.0
Nexage,KS-5624 PSS Verify that Millennial Media Exchange can be added by Sellers admin and manager,2016-10-13 01:09:11.0
Nexage,KS-563 Verify that new added dimensions are displayed in the report,2016-10-13 01:09:12.0
Nexage,KS-5641 Impersonate PSS Verify that Rich Media Allowed and Allowed Ad Formats are not displayed for external user,2016-10-13 10:32:41.0
Nexage,KS-5641 Impersonate PSS Verify that Rich Media Allowed and Allowed Ad Formats are not displayed for external user,2016-10-13 03:48:51.0
Nexage,KS-5652 Verify that Native placement can be added from Applications and Sites grid,2016-10-13 03:29:22.0
Nexage,KS-5653 Verify that Medium Rectangle placement can be added from Applications and Sites grid,2016-10-13 03:46:19.0
Nexage,KS-5700 Sellers: Position Setup: add and edit position with Native type,2016-10-13 03:48:33.0
Nexage,KS-573 Verify that Seller Revenue report can be drilled down by Seller User,2016-10-13 03:11:39.0
Nexage,KS-573 Verify that Seller Revenue report can be drilled down by Seller User,2016-10-13 10:49:28.0
Nexage,KS-5759 Sellers: Position Setup: add In-stream Video position and check all correct data are shown in PSS, update in PSS and check in seller admin,2016-10-13 03:08:55.0
Nexage,KS-5765 Change dimension filters for Seller Revenue report,2016-10-13 03:09:01.0
Nexage,KS-5765 Change dimension filters for Seller Revenue report,2016-10-13 03:53:25.0
Nexage,KS-5783 Sellers Tag Setup override settings for Banner different values Inherited from position,2016-10-13 10:57:20.0
Nexage,KS-5783 Sellers Tag Setup override settings for Banner different values Inherited from position,2016-10-13 03:38:18.0
Nexage,KS-5806 Verify that columns can be hidden and unhidden in Nexage Finance Reports,2016-10-13 11:09:33.0
Nexage,KS-5815 PSS Verify that Ad Size can be overriden at tag level Impersonate,2016-10-13 11:25:15.0
Nexage,KS-5815 PSS Verify that Ad Size can be overriden at tag level Impersonate,2016-10-13 03:09:24.0
Nexage,KS-5817 Verify that ONE: Mobile Marketplace Ad Source can be created,2016-10-13 01:09:12.0
Nexage,KS-5841 Verify that MM Network Ad Source can be created,2016-10-13 03:31:33.0
Nexage,KS-5987 users: verify Nexage User can impersonate as Seller User only,2016-10-13 11:07:54.0
Nexage,KS-5988 Verify that its possible to clone deal,2016-10-13 10:32:37.0
Nexage,KS-6010 Verify AND search for Available suppliers grid,2016-10-13 03:59:40.0
Nexage,KS-6013 PSS Mediation Ad Source verify different Reporting Settings parameters are shown as configured for Adnet,2016-10-13 11:03:36.0
Nexage,KS-6013 PSS Mediation Ad Source verify different Reporting Settings parameters are shown as configured for Adnet,2016-10-13 03:56:57.0
Nexage,KS-6059 Verify that Internal Manager can be edited,2016-10-13 11:14:05.0
Nexage,KS-6059 Verify that Internal Manager can be edited,2016-10-13 03:58:54.0
Nexage,KS-6062 Verify that Internal User can be deleted,2016-10-13 10:35:12.0
Nexage,KS-6110 PSS: Users: Verify that sites can be edited for users,2016-10-13 11:35:05.0
Nexage,KS-6110 PSS: Users: Verify that sites can be edited for users,2016-10-13 10:39:36.0
Nexage,KS-6110 PSS: Users: Verify that sites can be edited for users,2016-10-13 04:01:17.0
Nexage,KS-6123 Impersonate PSS Default Reporting Settings verify all fields are prefilled with values saved on Ad source,2016-10-13 11:14:46.0
Nexage,KS-6123 Impersonate PSS Default Reporting Settings verify all fields are prefilled with values saved on Ad source,2016-10-13 03:27:36.0
Nexage,KS-6134 PSS: Verify that MM Exchange Ad Source can be created with default bidder groups,2016-10-13 10:41:23.0
Nexage,KS-6134 PSS: Verify that MM Exchange Ad Source can be created with default bidder groups,2016-10-13 03:35:29.0
Nexage,KS-6159 PSS: perform Save and Add Exchange when new placement is added from the grid,2016-10-13 03:54:49.0
Nexage,KS-6159 PSS: perform Save and Add Exchange when new placement is added from the grid,2016-10-13 10:45:56.0
Nexage,KS-6159 PSS: perform Save and Add Exchange when new placement is added from the grid,2016-10-13 03:25:23.0
Nexage,KS-6268 Verify that Buyer admin can be created,2016-10-13 10:44:58.0
Nexage,KS-6279 Verify that Seller user can be deleted,2016-10-13 03:44:12.0
Nexage,KS-6280 Verify that Buyer user can be deleted,2016-10-13 03:11:34.0
Nexage,KS-6280 Verify that Buyer user can be deleted,2016-10-13 11:05:11.0
Nexage,KS-6457 Impersonate Applications and Sites Verify that placement can be edited interstitial to banner,2016-10-13 03:10:57.0
Nexage,KS-6457 Impersonate Applications and Sites Verify that placement can be edited interstitial to banner,2016-10-13 13:21:20.0
Nexage,KS-6469 PSS Verify that Test Ad Source can be edited,2016-10-13 11:04:24.0
Nexage,KS-6469 PSS Verify that Test Ad Source can be edited,2016-10-13 03:18:07.0
Nexage,KS-6978 PSS MM Network Verify that it's possible to copy tag,2016-10-13 11:10:53.0
Nexage,KS-6978 PSS MM Network Verify that it's possible to copy tag,2016-10-13 03:09:01.0
Nexage,KS-6980 PSS Mediation Ad Source Verify that it's possible to copy tag,2016-10-13 10:51:24.0
Nexage,KS-6980 PSS Mediation Ad Source Verify that it's possible to copy tag,2016-10-13 03:26:51.0
Nexage,KS-6998 PSS Verify that tag can be paused,2016-10-13 03:16:05.0
Nexage,KS-6998 PSS Verify that tag can be paused,2016-10-13 13:33:58.0
